,SERIAL_NO,DICT_NO,C_NO,SCC,NO_P,FC,TSP_EMI,PM_EMI,X_BLANK1,PM25_EMI,SOX_EMI,NOX_EMI,THC_EMI,NMHC_EMI,CO_EMI,PB_EMI,COMP_KIND1,WGS84_E,WGS84_N,ORI_QU1,X_BLANK2,DIA,X_BLANK3,HEI,X_BLANK4,TEMP,X_BLANK5,VEL,ASSUME_Q,ASSUME_D,ASSUME_H,ASSUME_T,ASSUME_V,NO_S,ASSUME_HD,HD1,ASSUME_DW,DW1,ASSUME_WY,WY1,X_BLANK6,X_BLANK7,X_BLANK8,X_BLANK9,X_BLANK10,X_BLANK11,EQ_1,A_NAME1,EQ_2,A_NAME2,EQ_3,A_NAME3,EQ_4,A_NAME4,EQ_5,A_NAME5,TSP_EFF,TSP_EFF1,SOX_EFF,NOX_EFF,VOC_EFF,CO_EFF,PB_EFF,ID_AREA,COMP_NAM,ZS,TSP_RANK,SOX_RANK,NOX_RANK,VOC_RANK,CO_RANK,PB_RANK,鄉鎮代碼,鄉鎮名稱,縣市代碼,縣市名稱,AREA,TOWNID,TOWNCODE,TOWNENG,COUNTYID,COUNTYCODE
23,24813,211,E5600841,30300809,EB19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
24,24814,211,E5600841,30300809,EB1A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
25,24815,211,E5600841,30300809,EB1B,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
26,24816,211,E5600841,30300809,EB1C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
27,24817,211,E5600841,30300809,EB1D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,17,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
28,24818,211,E5600841,30300809,EB1E,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,17,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
29,24819,211,E5600841,30300809,EB1F,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
30,24820,211,E5600841,30300809,EB1G,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
31,24821,211,E5600841,30300809,EB1H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
32,24822,211,E5600841,30300809,EB1I,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,17,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
33,24823,211,E5600841,30300809,EB1J,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,8,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
34,24824,211,E5600841,30300809,EB1K,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,8,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
35,24825,211,E5600841,30300808,EB1L,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
36,24826,211,E5600841,30300809,EB1M,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,7,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
37,24827,211,E5600841,30300809,EB1N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,17,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
38,24828,211,E5600841,20101001,EB1O,FUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,3,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
39,24829,211,E5600841,30300808,EB1P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,3,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
40,24830,211,E5600841,30300825,EB11,,0.553,0.471,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.33913,22.54828,684.0,,1.19,,15.7,,42,,12.3,,,,,,PB13,,24,,7,,51,,0,,,0,0,AB15,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,U,U,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
41,24831,211,E5600841,30300825,EB11,,8.623,7.358,0.0,5.998,0.0,0.0,0.0,0.0,0.0,0.005,2411,120.35117,22.54962,9882.8,,3.23,,31.3,,44,,24.3,,,,,,PB14,,24,,7,,51,,0,,,0,0,AB17,脈動式袋式集塵器,,　,,　,,　,,　,99.13,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,U,U,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
42,24832,211,E5600841,20100801,EB12,FUL,2.03,1.425,0.0,1.371,0.0,0.0,0.0,0.0,0.0,0.001,2411,120.33939,22.54614,3154.3,,2.89,,70.0,,282,,17.5,,,,,,PB15,,15,,7,,51,,0,,,0,0,,　,,　,,　,,　,,　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
43,24833,211,E5600841,20100801,EB13,FUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.33939,22.54614,3154.3,,2.89,,70.0,,282,,17.5,,,,,,PB15,,15,,7,,51,,0,,,0,0,,　,,　,,　,,　,,　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
44,24834,211,E5600841,20100801,EB14,FUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.33939,22.54614,3154.3,,2.89,,70.0,,282,,17.5,,,,,,PB15,,15,,7,,51,,0,,,0,0,,　,,　,,　,,　,,　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
45,24835,211,E5600841,30300809,EB15,,0.0,0.0,0.0,0.0,90.899,9.999,0.0,0.0,0.0,0.0,2411,120.33939,22.54614,3154.3,,2.89,,70.0,,282,,17.5,,,,,,PB15,,8,,7,,51,,0,,,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,-,B,A,-,-,-,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
46,24836,211,E5600841,20100801,EB22,FUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.33939,22.54614,3154.3,,2.89,,70.0,,282,,17.5,,,,,,PB15,,24,,7,,51,,0,,,0,0,,　,,　,,　,,　,,　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
47,24837,211,E5600841,30300808,EB1U,,0.117,0.084,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54956,222.1,,1.85,,34.0,,73,,7.5,,,,,,PB16,,24,,7,,51,,0,,,0,0,AB13,脈動式袋式集塵器,,　,,　,,　,,　,99.6,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
48,24838,211,E5600841,30300808,EB1U,,0.117,0.084,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35102,22.54944,220.1,,1.85,,34.0,,73,,7.4,,,,,,PB17,,24,,7,,51,,0,,,0,0,AB13,脈動式袋式集塵器,,　,,　,,　,,　,99.6,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
49,24839,211,E5600841,30300808,EB1U,,0.117,0.084,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35069,22.54935,216.5,,1.85,,34.0,,72,,7.3,,,,,,PB18,,24,,7,,51,,0,,,0,0,AB13,脈動式袋式集塵器,,　,,　,,　,,　,99.6,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
